,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,0.5584992123729204,2.603911628308908,0.5040339349579925,1.8445173701482354,1.7113003414373162,1.6193480546792927,3.104575163398704,2.935899526993957,1.5138229832886374,2.5346400811084857,0.5326074091608568,0.8620689655172376,2.310410437618926,3.3941084190343362,0.9591599777878823,0.7604562737642651,1.5882902522578624,1.0447597052677837,1.1356399915092297,1.325646298472405,0.45390514947565297,2.00350868271848,-0.5245024939579346,2.254079034235601,-0.26166361095782964,2.463096372258322,3.5594234931159985,-0.8526253305272236,2.237046021157618,0.14673514306675628,2.191319005478287,2.174714338370798,0.9791921664626724,0.5207179259915762,2.0408163265306145,1.5881381539650796,4.2017639480725455,0.7801418439716379,-0.9775066062259641,0.3118233001299098,-1.431775056063489,-0.18523899462443705,0.823680823680828,0.8949213215004859,-1.6185854825844226,0.556438791732905,2.9867055181205693,1.7241875593678957,1.7779164067373676,0.08799837541459965,2.609168327595568
2001-02-01,1.0349288486416475,2.7509999712238553,0.4519398521226181,1.5507077685577908,1.8895109501070317,1.8915510718789497,3.1340579710144922,2.782297429222269,1.31877189367402,2.2252191503708607,0.0650271931898816,0.8112622285850524,2.3318872017353387,3.068205520406031,1.0475036599525422,0.7697219069239702,1.2747963435109755,0.9904258831297419,1.1063393598784055,1.2981759340982668,0.3596747289407842,1.5883872929016496,-0.3139475038600015,1.849765258215963,-0.3844510892780817,2.329431366685175,3.2369146005509553,-1.0147900248299702,2.5010111905082955,-0.04397537379068339,2.140159462861946,2.6093348033811026,1.1642156862745168,0.22636925795052054,1.7675504418875887,1.4254116490538316,4.502721425037115,1.7724211272598378,-0.907627936916644,0.2421726344922881,-1.5542699248769498,-0.08723466123872203,0.7194244604316502,0.9937238493723743,-1.3799295072155382,0.6089489012443661,2.8070494186046346,1.6448598130841097,1.201060676961463,-0.27704574633422574,2.5030442429982314
